id,date,Soybean_Hulls,Cottonseed_Whole,Cottonseed_Meal,Peanut_Meal,Rice_Bran,Wheat_Meal,Urea,Soybean_Meal,Corn_Grain,Citrus_Pulp,F_Corn_Silage,F_Sugarcane_Silage,animal_price
1,Dec-13,0.32,0.7,0.86175,0.95833,0.4686,0.43725,2.37,1.32,0.4225,0.3524,0.0845,0.043725,4.200618056
2,Jan-14,0.325,0.715,0.88733,0.945,0.4706,0.44475,2.2,1.22,0.424833333,0.4025,0.0849666666,0.044475,4.2366875
3,Feb-14,0.333,0.69667,0.87733,0.915,0.4746,0.45257,2.2,1.14,0.503333333,0.43,0.1006666666,0.045257,4.366243056
4,Mar-14,0.346,0.775,0.9088,0.9225,0.4666,0.4935,2.2,1.17,0.542,0.44,0.1084,0.04935,4.592597222
5,Apr-14,0.4,0.775,0.9088,0.9225,0.4666,0.4935,2.2,1.17,0.523,0.44,0.1046,0.04935,4.575298611
6,May-14,0.4,0.73333,0.9128,0.935,0.4726,0.47779,2.2,1.11,0.476666667,0.43,0.0953333334,0.047779,4.505
7,Jun-14,0.4,0.71667,0.9088,0.95,0.4726,0.50871,2.2,1.14,0.425333333,0.3925,0.0850666666,0.050871,4.516409722
8,Jul-14,0.4,0.71,0.894,0.94,0.4575,0.50586,2.2,1.11,0.392333333,0.382,0.0784666666,0.050586,4.474451389
9,Aug-14,0.4,0.7,0.88233,0.94,0.4575,0.50586,1.98,1.07,0.383,0.385,0.0766,0.050586,4.560208333
10,Sep-14,0.4,0.69333,0.87733,0.93,0.48,0.5365,1.88,1.08,0.3665,0.37667,0.0733,0.05365,4.772944444
11,Oct-14,0.4,0.8,0.803,0.89,0.4625,0.50608,1.88,1.05,0.39,0.36167,0.078,0.050608,4.944826389
12,Nov-14,0.415,0.69,0.79444,0.8875,0.485,0.51204,2.08,1.19,0.445666667,0.34583,0.0891333334,0.051204,5.297055556
13,Dec-14,0.43,0.71,0.80578,0.8875,0.4925,0.5163,2.22,1.18,0.4415,0.35167,0.0883,0.05163,5.302944444
14,Jan-15,0.4097,0.72,0.7828,0.8825,0.495,0.52019,2.22,1.16,0.441333333,0.3775,0.0882666666,0.052019,5.327236111
15,Feb-15,0.4097,0.72,0.765,0.8825,0.495,0.51519,2.22,1.13,0.460166667,0.37917,0.0920333334,0.051519,5.318402778
16,Mar-15,0.454,0.68,0.7428,0.825,0.4825,0.47875,2.25,1.16,0.495666667,0.38583,0.0991333334,0.047875,5.380236111
17,Apr-15,0.455,0.67,0.7353,0.88,0.4975,0.44485,2.25,1.14,0.4645,0.3875,0.0929,0.044485,5.539236111
18,May-15,0.458,0.76,0.74778,0.88,0.4975,0.42465,2.25,1.04,0.419833333,0.35667,0.0839666666,0.042465,5.483291667
19,Jun-15,0.4398,0.76,0.75225,0.85,0.545,0.4712,2.31,0.99457,0.417,0.36,0.0834,0.04712,5.442805556
20,Jul-15,0.413,0.73,0.775,0.8575,0.515,0.48648,2.31,1.08,0.436,0.38033,0.0872,0.048648,5.290798611
21,Aug-15,0.396,0.685,0.79813,0.8575,0.515,0.48648,2.31,1.2,0.447833333,0.38033,0.0895666666,0.048648,5.238534722
22,Sep-15,0.37313,0.69,0.8925,0.8575,0.515,0.48648,2.31,1.26,0.504666667,0.34333,0.1009333334,0.048648,5.303680556
23,Oct-15,0.36647,0.69,1.01,1.03,0.56375,0.57094,2.31,1.36,0.5285,0.35667,0.1057,0.057094,5.4026875
24,Nov-15,0.36647,0.69,0.99088,1.07,0.56375,0.56469,2.24,1.34,0.5305,0.36833,0.1061,0.056469,5.475194444
25,Dec-15,0.368,0.69,0.99788,1.03,0.57,0.55672,2.31,1.32,0.566666667,0.37083,0.1133333334,0.055672,5.425138889
26,Jan-16,0.36,0.69,0.99313,1.1,0.57,0.55406,2.42,1.32,0.681,0.37333,0.1362,0.055406,5.513104167
27,Feb-16,0.366,0.69,0.98888,1.1,0.57,0.58801,2.42,1.31,0.716,0.37833,0.1432,0.058801,5.676888889
28,Mar-16,0.37,0.69,0.979,1.04,0.5875,0.61135,2.37,1.15,0.788666667,0.39083,0.1577333334,0.061135,5.708173611
29,Apr-16,0.37008,0.69,0.9295,0.90708,0.635,0.61365,2.37,1.05,0.8045,0.45917,0.1609,0.061365,5.743506944
30,May-16,0.373,0.69,0.9168,0.93208,0.635,0.61594,2.37,1.11,0.848833333,0.47167,0.1697666666,0.061594,5.691611111
