time,date,animal_price_53,citrus_pulp,corn_grain,soybean_meal,urea,ammonium_sulfate_50kg,ammonium_sulfate_1ton,boi_magro,calcium_phosphate,calf,cal_hidratada_8kg,cal_hidratada_20kg,cottonseed_meal_25kg,cottonseed_meal_28pb_50kg,cottonseed_whole,nucleo_mineral,soybean_hulls,sugarcane_bagasse,wheat_meal_0pb_40kg,wheat_meal_12pb_40kg,wheat_meal_14pb_30kg,wheat_meal_14pb_40kg
1,ago/04,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.8,1000,1000,1000,1000,1000,1000
2,set/04,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.776,1000,1000,1000,1000,1000,1000
3,out/04,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.8,1000,1000,1000,1000,1000,1000
4,nov/04,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.872,1000,1000,1000,1000,1000,1000
5,dez/04,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.872,1000,1000,1000,1000,1000,1000
6,jan/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.872,1000,1000,1000,1000,1000,1000
7,fev/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.8712,1000,1000,1000,1000,1000,1000
8,mar/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.8712,1000,1000,1000,1000,1000,1000
9,abr/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
10,mai/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
11,jun/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
12,jul/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
13,ago/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,1000,1000,0.996,1000,1000,1000,1000,1000,1000
14,set/05,1000,1000,1000,1000,1000,1000,0.505333333,1000000,1000,1000000,1000,1000,1000,0.443,1000,0.98,1000,1000,1000,0.3025,1000,1000
15,out/05,1000,1000,1000,1000,1000,1000,1000,1000000,1000,1000000,1000,1000,1000,0.443,1000,0.996,1000,1000,1000,0.279375,1000,1000
16,nov/05,1000,1000,1000,1000,1000,1000,0.53,1000000,1000,1000000,1000,1000,1000,0.443,1000,0.996,1000,1000,1000,0.315833333,1000,1000
17,dez/05,1000,1000,1000,1000,1000,1000,0.53,1000000,1000,1000000,1000,1000,1000,0.443,1000,0.996,1000,1000,1000,0.304166667,1000,1000
18,jan/06,1000,1000,1000,1000,1000,1000,0.50325,1000000,1.06,1000000,1000,1000,1000,0.564,1000,0.996,1000,1000,1000,0.295833333,1000,1000
19,fev/06,1000,1000,1000,1000,1000,1000,0.494,1000000,1.06,1000000,1000,1000,1000,0.326,1000,0.96,1000,1000,1000,0.2,1000,1000
20,mar/06,1000,1000,1000,1000,1000,1000,0.462166667,1000000,1.06,1000000,1000,1000,1000,0.445,1000,0.996,1000,1000,1000,0.224375,1000,1000
21,abr/06,1000,1000,1000,1000,1000,1000,0.472666667,1000000,1000,1000000,1000,1000,1000,1000,1000,0.996,1000,1000,1000,0.275,1000,1000
22,mai/06,1000,1000,1000,1000,1000,1000,0.471166667,1000000,1.02,1000000,1000,1000,1000,0.29,1000,1000,1000,1000,1000,0.2275,1000,1000
23,jun/06,1000,1000,1000,1000,1000,1000,0.468333333,1000000,1.02,1000000,1000,1000,1000,0.298,1000,0.996,1000,1000,1000,0.2975,1000,1000
24,jul/06,1000,1000,1000,1000,1000,1000,0.464833333,1000000,1000,1000000,1000,1000,1000,1000,1000,0.996,1000,1000,1000,1000,1000,1000
25,ago/06,1000,1000,1000,1000,1000,1000,0.494714286,1000000,1.02,1000000,1000,1000,1000,0.378,1000,0.996,1000,1000,1000,0.2875,1000,1000
26,set/06,1000,1000,1000,1000,1000,1000,0.499142857,1000000,1.02,1000000,1000,1000,1000,0.39,1000,0.96,1000,1000,1000,0.375,0.296666667,1000
27,out/06,1000,1000,1000,1000,1000,1000,0.5142,1000000,1000,1000000,1000,1000,1000,1000,1000,1,1000,1000,1000,0.4,1000,1000
28,nov/06,1000,1000,1000,1000,1000,1000,0.5438,1000000,1000,1000000,1000,1000,1000,0.39,1000,1,1000,1000,1000,0.375,0.35,1000
29,dez/06,1000,1000,1000,1000,1000,1000,0.57075,1000000,1.02,1000000,1000,1000,1000,0.378,1000,1,1000,1000,1000,0.35,0.33,1000
30,jan/07,1000,1000,1000,1000,1000,1000,0.575333333,1000000,1.02,1000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.375,0.316666667,1000
31,fev/07,1000,1000,1000,1000,1000,1000,0.681,1000000,1.02,1000000,1000,1000,1000,0.338,1000,1,1000,1000,1000,0.4,0.316666667,1000
32,mar/07,1000,1000,1000,1000,1.3546,1000,0.677,1000000,1000,1000000,1000,1000,1000,0.378,1000,1000,1000,1000,1000,0.4,0.35,1000
